序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别,2、您的年龄段,3、您的常住地,4、您是否为澳门大学在读学生,5、您日常刷短视频的频率,6、您是否听说过以下热梗—操/草/我靠/wc,6、老己/爱你老己,6、不知道，我的身材很曼妙～,6、你/我已急哭,6、洗衣粉儿,6、心理委员我不得劲儿,6、我不行了,7、您获取网络热梗的主要渠道有哪些,8、您日常是否会使用以下热梗—操/草/我靠/wc,8、老己/爱你老己,8、不知道，我的身材很曼妙～,8、你/我已急哭,8、洗衣粉儿,8、心理委员我不得劲儿,8、我不行了,9、您通常在哪些场景下会使用网络热梗,10、您认为网络热梗对您的日常交流有何影响
50,2026/3/19 19:47:35,77秒,微信,N/A,149.102.98.149(澳门-未知),男,18～30岁,港澳台地区,是,经常,经常刷/听到,有印象,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,有时会用,经常会用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
51,2026/3/19 19:47:36,82秒,微信,N/A,202.175.67.187(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,没听过,经常刷/听到,有印象,经常刷/听到,经常刷/听到,短视频平台┋社交软件,经常会用,从来不用,从来不用,有时会用,从来不用,从来不用,从来不用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有积极影响
52,2026/3/19 19:49:47,44秒,微信,N/A,202.175.67.183(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,有印象,有印象,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
53,2026/3/19 19:50:24,112秒,微信,N/A,183.9.196.176(广东-揭阳),男,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台,经常会用,从来不用,从来不用,有时会用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
54,2026/3/19 19:50:25,92秒,微信,N/A,103.143.93.144(澳门-未知),女,18～30岁,港澳台地区,是,有时,经常刷/听到,有印象,经常刷/听到,有印象,没听过,有印象,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）,有负面影响
55,2026/3/19 19:52:36,54秒,微信,N/A,149.102.98.194(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,有时会用,经常会用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
56,2026/3/19 19:55:30,89秒,微信,N/A,149.102.98.149(澳门-未知),男,18～30岁,港澳台地区,是,经常,经常刷/听到,有印象,有印象,有印象,没听过,没听过,经常刷/听到,短视频平台┋社交软件┋新闻资讯┋日常交流┋综艺节目,有时会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊,有负面影响
57,2026/3/19 19:55:49,972秒,微信,N/A,103.143.92.40(澳门-未知),女,18～30岁,中国大陆,是,有时,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋综艺节目,有时会用,有时会用,有时会用,有时会用,有时会用,有时会用,经常会用,线下闲聊┋线上私聊（微信、QQ等）,无影响
58,2026/3/19 19:56:59,62秒,微信,N/A,149.102.98.200(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊┋线上私聊（微信、QQ等）,有负面影响
59,2026/3/19 19:58:54,39秒,微信,N/A,103.143.92.59(澳门-未知),男,18岁以下,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,有印象,经常刷/听到,经常刷/听到,短视频平台┋社交软件,经常会用,经常会用,经常会用,经常会用,有时会用,经常会用,经常会用,工作沟通┋线下闲聊┋线上私聊（微信、QQ等）,有积极影响
60,2026/3/19 20:00:37,45秒,微信,N/A,14.24.195.16(广东-广州),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,有时会用,经常会用,从来不用,有时会用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
61,2026/3/19 20:05:12,73秒,微信,N/A,202.175.67.217(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,有时会用,有时会用,有时会用,有时会用,有时会用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有负面影响
62,2026/3/19 20:05:13,54秒,微信,N/A,202.175.67.52(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,没听过,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊┋线上私聊（微信、QQ等）,有积极影响
63,2026/3/19 20:07:04,48秒,微信,N/A,149.102.98.201(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,有时会用,有时会用,有时会用,有时会用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
64,2026/3/19 20:08:00,76秒,微信,N/A,39.144.224.21(重庆-重庆),男,18～30岁,中国大陆,否,有时,经常刷/听到,经常刷/听到,有印象,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有负面影响
65,2026/3/19 20:09:46,71秒,微信,N/A,113.52.102.174(澳门-未知),男,18～30岁,港澳台地区,是,有时,经常刷/听到,有印象,没听过,有印象,没听过,没听过,有印象,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
66,2026/3/19 20:10:53,147秒,微信,N/A,149.102.98.200(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,有时会用,从来不用,有时会用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
67,2026/3/19 20:11:18,61秒,微信,N/A,60.246.42.7(澳门-未知),女,18～30岁,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,经常会用,有时会用,从来不用,从来不用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
68,2026/3/19 20:18:33,65秒,微信,N/A,122.100.146.68(澳门-未知),女,18～30岁,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋综艺节目,有时会用,从来不用,经常会用,有时会用,有时会用,经常会用,经常会用,线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）,无影响
69,2026/3/19 20:19:22,68秒,微信,N/A,103.143.93.16(澳门-未知),女,18～30岁,中国大陆,否,有时,经常刷/听到,经常刷/听到,经常刷/听到,没听过,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件,有时会用,从来不用,从来不用,从来不用,从来不用,从来不用,经常会用,线下闲聊,无影响
70,2026/3/19 20:21:16,44秒,微信,N/A,202.175.51.67(澳门-未知),男,18～30岁,港澳台地区,是,经常,经常刷/听到,经常刷/听到,没听过,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,有时会用,从来不用,从来不用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
71,2026/3/19 20:21:38,56秒,微信,N/A,60.246.170.243(澳门-澳门半岛),男,18～30岁,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台,有时会用,从来不用,从来不用,有时会用,从来不用,有时会用,从来不用,线上私聊（微信、QQ等）,有负面影响
72,2026/3/19 20:23:05,51秒,微信,N/A,202.175.67.171(澳门-未知),女,18～30岁,中国大陆,是,有时,有印象,经常刷/听到,有印象,没听过,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,经常会用,工作沟通┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
73,2026/3/19 20:27:02,53秒,微信,N/A,182.93.57.139(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋新闻资讯┋日常交流,从来不用,从来不用,从来不用,有时会用,从来不用,从来不用,经常会用,线下闲聊┋线上私聊（微信、QQ等）,无影响
74,2026/3/19 20:27:25,49秒,微信,N/A,149.102.98.198(澳门-未知),男,18～30岁,港澳台地区,是,有时,经常刷/听到,有印象,有印象,有印象,没听过,有印象,经常刷/听到,短视频平台┋日常交流,有时会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有积极影响
75,2026/3/19 20:28:36,77秒,微信,N/A,113.52.76.116(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,有印象,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,有时会用,有时会用,有时会用,从来不用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
76,2026/3/19 20:29:43,169秒,微信,N/A,149.102.98.196(澳门-未知),男,18～30岁,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,有时会用,从来不用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有积极影响
77,2026/3/19 20:39:12,190秒,微信,N/A,125.31.54.167(澳门-澳门半岛),女,18～30岁,港澳台地区,是,有时,经常刷/听到,经常刷/听到,经常刷/听到,有印象,没听过,有印象,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
78,2026/3/19 20:44:24,50秒,微信,N/A,149.102.98.113(澳门-未知),男,18～30岁,港澳台地区,是,有时,有印象,没听过,没听过,没听过,没听过,没听过,没听过,短视频平台┋社交软件┋日常交流,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
79,2026/3/19 20:54:36,48秒,微信,N/A,114.254.0.55(北京-北京),女,18～30岁,中国大陆,否,几乎不,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,有印象,经常刷/听到,社交软件┋日常交流,经常会用,从来不用,有时会用,经常会用,从来不用,从来不用,经常会用,线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
80,2026/3/19 21:20:25,60秒,微信,N/A,125.31.54.84(澳门-澳门半岛),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,有时会用,有时会用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊,有负面影响
81,2026/3/19 21:55:18,47秒,微信,N/A,103.143.92.145(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,有印象,有印象,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
82,2026/3/19 21:57:16,65秒,微信,N/A,113.52.79.192(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,有印象,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,经常会用,经常会用,经常会用,从来不用,经常会用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
83,2026/3/19 22:02:20,59秒,微信,N/A,149.102.98.59(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,有印象,没听过,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,经常会用,从来不用,从来不用,从来不用,有时会用,有时会用,线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
84,2026/3/19 22:37:10,47秒,微信,N/A,149.102.98.200(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,经常会用,经常会用,经常会用,经常会用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
85,2026/3/19 22:37:23,57秒,微信,N/A,202.175.105.118(澳门-澳门半岛),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,从来不用,有时会用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
86,2026/3/19 23:00:02,51秒,微信,N/A,149.102.98.195(澳门-未知),女,18～30岁,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,有时会用,有时会用,从来不用,从来不用,从来不用,有时会用,经常会用,游戏交流┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
87,2026/3/19 23:17:00,78秒,微信,N/A,125.31.54.86(澳门-澳门半岛),男,18～30岁,中国大陆,是,几乎不,经常刷/听到,经常刷/听到,没听过,经常刷/听到,没听过,有印象,经常刷/听到,社交软件┋日常交流┋其他〖长视频平台〗,经常会用,从来不用,从来不用,有时会用,从来不用,从来不用,从来不用,工作沟通┋线下闲聊┋线上私聊（微信、QQ等）,有积极影响
88,2026/3/19 23:30:51,68秒,微信,N/A,149.102.98.200(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,有印象,没听过,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,从来不用,有时会用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊┋线上私聊（微信、QQ等）,无影响
89,2026/3/20 0:16:44,88秒,微信,N/A,27.109.213.91(澳门-未知),男,18～30岁,港澳台地区,是,经常,经常刷/听到,有印象,没听过,经常刷/听到,没听过,有印象,有印象,短视频平台┋社交软件┋日常交流┋综艺节目,有时会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
90,2026/3/20 0:45:49,88秒,微信,N/A,103.143.93.142(澳门-未知),男,18～30岁,中国大陆,是,有时,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有负面影响
91,2026/3/20 6:39:29,153秒,微信,N/A,113.52.91.78(澳门-未知),女,30岁以上,港澳台地区,否,有时,没听过,没听过,没听过,没听过,没听过,没听过,没听过,短视频平台┋新闻资讯┋综艺节目,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,工作沟通,有负面影响
92,2026/3/20 8:44:39,43秒,微信,N/A,223.104.161.245(浙江-宁波),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋日常交流,经常会用,经常会用,经常会用,经常会用,从来不用,经常会用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有负面影响
93,2026/3/20 9:00:41,59秒,微信,N/A,122.227.138.64(浙江-宁波),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,有印象,有印象,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,有时会用,从来不用,从来不用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
94,2026/3/20 9:03:17,84秒,微信,N/A,122.227.138.66(浙江-宁波),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,有印象,没听过,经常刷/听到,经常刷/听到,有印象,短视频平台┋社交软件,经常会用,经常会用,从来不用,有时会用,有时会用,经常会用,有时会用,线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
95,2026/3/20 9:09:43,53秒,微信,N/A,210.83.72.96(浙江-宁波),女,18～30岁,中国大陆,否,经常,有印象,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,有时会用,有时会用,有时会用,经常会用,经常会用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
96,2026/3/20 9:14:38,150秒,微信,N/A,111.55.152.154(广东-广州),女,30岁以上,中国大陆,否,几乎不,有印象,没听过,没听过,没听过,没听过,没听过,没听过,新闻资讯,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,其他〖没用过〗,无影响
97,2026/3/20 9:59:59,100秒,微信,N/A,149.102.98.23(澳门-未知),女,18岁以下,中国大陆,是,几乎不,有印象,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,社交软件┋日常交流,从来不用,从来不用,从来不用,有时会用,从来不用,从来不用,从来不用,线上私聊（微信、QQ等）,无影响
98,2026/3/20 10:29:41,56秒,微信,N/A,223.104.85.153(广东-珠海),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,有时会用,有时会用,有时会用,从来不用,从来不用,有时会用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
99,2026/3/20 11:08:30,47秒,微信,N/A,122.227.138.66(浙江-宁波),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,经常会用,经常会用,有时会用,经常会用,经常会用,游戏交流┋线下闲聊┋社交媒体互动（发帖、评论、转发等）,有积极影响
100,2026/3/20 16:03:20,77秒,微信,N/A,182.93.57.131(澳门-未知),女,18～30岁,中国大陆,是,有时,经常刷/听到,经常刷/听到,经常刷/听到,有印象,没听过,有印象,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,有时会用,从来不用,从来不用,从来不用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）┋社交媒体互动（发帖、评论、转发等）,无影响
